SITES,LATITUDE,LONGITUDE
Little John-NW,43.753894,-70.136267
Little John-NE,43.753994,-70.135828
Little John-SE,43.753647,-70.13635
Mackworth- SE,43.6919,-70.228983
Mackworth- SW,43.691739,-70.228897
Mackworth- NW,43.692039,-70.137333
Little John-NW,43.75405,-70.137333
Little John-NE,43.754083,-70.137833
Little John-SE,43.753733,-70.136267
Mackworth- SE,43.753894,-70.135828
Mackworth- SW,43.754083,-70.138667
Mackworth- NW,43.753733,-70.138167
Little John-NW,43.6919,-70.137333
Little John-NE,43.691739,-70.138667
Little John-SE,43.692039,-70.137833
Mackworth- SE,43.75405,-70.138
Mackworth- SW,43.754083,-70.138667
Mackworth- NW,43.753733,-70.138167
Little John-NW,43.753417,-70.1363
Little John-NE,43.7536,-70.136367
Little John-SE,43.753717,-70.138833
Mackworth- SE,43.692267,-70.140417
Mackworth- SW,43.692217,-70.218536
Mackworth- NW,43.692383,-70.218522
Little John-NW,43.753417,-70.1363
Little John-NE,43.7536,-70.136367
Little John-SE,43.753783,-70.136417
Mackworth- SE,43.6923,-70.227583
Mackworth- SW,43.6924,-70.227883
Mackworth- NW,43.6925,-70.2278
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Maquoit,43.8475914,-70.0148456
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay ,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Middle Bay,43.8262905,-69.9843805
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Harpswell Cove,43.851516,-69.9359829
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Princes Point,43.7625802,-70.1739374
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Thomas Point Beach,43.8945242,-69.8911593
Biddeford,43.44785,-70.3595
Biddeford,43.44785,-70.35948
Biddeford,43.44785,-70.35939
Biddeford,43.44787,-70.35937
Biddeford,43.44788,-70.35934
Biddeford,43.44783,-70.35935
Biddeford,43.4479,-70.35926
Biddeford,43.44791,-70.35926
Biddeford,43.44793,-70.35923
Biddeford,43.44795,-70.35912
Biddeford,43.44786,-70.35943
Biddeford,43.44786,-70.35938
Biddeford,43.44783,-70.35936
Biddeford,43.4439,-70.35933
Biddeford,43.44789,-70.3593
Biddeford,43.44789,-70.35925
Biddeford,43.44791,-70.35922
Biddeford,43.44792,-70.3592
Biddeford,43.44795,-70.35916
Biddeford,43.44795,-70.35913
Biddeford,43.44771,-70.35934
Biddeford,43.44771,-70.35933
Biddeford,43.44735,-70.35932
Biddeford,43.44786,-70.35928
Biddeford,43.44779,-70.35924
Biddeford,43.44791,-70.3592
Biddeford,43.4479,-70.35917
Biddeford,43.44796,-70.35918
Biddeford,43.44792,-70.35912
Biddeford,43.44785,-70.35948
Biddeford,43.44781,-70.35941
Biddeford,43.44784,-70.35938
