epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.25775,1.75396,4.46083,1.4041,0,0,0,0,0,0,0,9e-05,9e-05,0.09109
2,6.90873,1.91669,4.05715,1.57375,0,0,0,0,0,0,0,0.00018373,0.00018373,0.0811837
3,9.91145,1.82676,3.91251,1.52015,0,0,0,0,0,0,0,0.00027086,0.00027086,0.0712709
4,12.981,1.59384,3.66976,1.41066,0,0,0,0,0,0,0,0.00035139,0.00035139,0.0613514
5,16.1627,1.6625,3.70539,1.42767,0,0,0,0,0,0,0,0.00042532,0.00042532,0.0514253
6,18.9741,1.65056,3.51824,1.41165,0,0,0,0,0,0,0,0.00049265,0.00049265,0.0414927
7,22.068,1.64899,3.36806,1.39558,0,0,0,0,0,0,0,0.00055338,0.00055338,0.0315534
8,25.7135,1.54293,3.24207,1.31412,0,0,0,0,0,0,0,0.00060751,0.00060751,0.0216075
9,28.5426,1.5952,3.15499,1.33545,0,0,0,0,0,0,0,0.00065504,0.00065504,0.011655
10,31.7327,1.56626,2.99631,1.33715,0,0,0,0,0,0,0,0.00069597,0.00069597,0.00169597
11,36.1828,1.58702,3.05782,1.32087,0,0,0,0,0,0,0,0.00067,0.00067,0.00067
12,39.3852,1.52485,2.93226,1.33344,0,0,0,0,0,0,0,0.000637,0.000637,0.000637
13,41.991,1.56167,3.0487,1.32471,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
14,45.0496,1.57913,3.09777,1.29478,0,0,0,0,0,0,0,0.000571,0.000571,0.000571
15,48.153,1.4731,2.87044,1.28172,0,0,0,0,0,0,0,0.000538,0.000538,0.000538
16,50.7211,1.46207,2.78559,1.2534,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
17,53.4546,1.62316,2.93369,1.31932,0,0,0,0,0,0,0,0.000472,0.000472,0.000472
18,56.2652,1.53174,2.7957,1.29806,0,0,0,0,0,0,0,0.000439,0.000439,0.000439
19,58.8641,1.51633,2.73181,1.33195,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
20,61.8656,1.44809,2.66091,1.23467,0,0,0,0,0,0,0,0.000373,0.000373,0.000373
21,64.6939,1.33212,3.15728,1.19653,0,0,0,0,0,0,0,0.00034,0.00034,0.00034
22,67.2581,1.36195,2.97699,1.21368,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
23,70.1864,1.4642,3.10828,1.31773,0,0,0,0,0,0,0,0.000274,0.000274,0.000274
24,72.9934,1.35665,3.02133,1.23668,0,0,0,0,0,0,0,0.000241,0.000241,0.000241
25,75.9089,1.33553,2.90092,1.19535,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
26,78.6774,1.35386,2.8426,1.23574,0,0,0,0,0,0,0,0.000175,0.000175,0.000175
27,81.6143,1.34895,2.79671,1.23075,0,0,0,0,0,0,0,0.000142,0.000142,0.000142
28,84.2994,1.19821,2.64199,1.12954,0,0,0,0,0,0,0,0.000109,0.000109,0.000109
29,88.0565,1.32215,2.82867,1.22229,0,0,0,0,0,0,0,7.6e-05,7.6e-05,7.6e-05
30,97.7591,1.25098,2.85326,1.15724,0.0662,0.14286,0.06604,0.05,1.54814,4.03191,1.44844,4.3e-05,4.3e-05,4.3e-05
