epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,15.6764,1.37533,3.79343,3.1776,1.20014,0,0.0025,0.48387,0.00535,0.00161,0,0,0,0,3.16124,157.009,4.36419,2.92611,0,9e-05,9e-05,0.09109
2,30.9803,1.63437,3.59524,2.89589,1.26872,0,0.00272,0.35484,0.02102,0.00827,0.00123,0.16129,0.00199,0.00026,2.65877,139.122,4.17969,2.16819,0,0.00018373,0.00018373,0.0811837
3,42.5769,1.34111,2.90903,2.38627,1.18107,0,0.00327,0.51613,0.03302,0.01374,0.00245,0.3871,0.00828,0.00229,2.28986,77.0261,3.76415,1.76431,0,0.00027086,0.00027086,0.0712709
4,54.8684,1.32734,2.80202,2.19083,1.17702,0,0.00339,0.58065,0.04279,0.02603,0.00226,0.3871,0.015,0.0041,2.07208,36.535,3.72757,1.56954,0,0.00035139,0.00035139,0.0613514
5,65.9576,1.2919,2.7598,1.92052,1.14434,0,0.00361,0.64516,0.05808,0.03541,0.00253,0.45161,0.03178,0.01034,1.92463,21.6812,3.58655,1.44168,0,0.00042532,0.00042532,0.0514253
6,80.808,1.17365,2.43362,1.81515,1.07227,0,0.12696,0.16129,0.07582,0.04692,0.12696,0.16129,0.06508,0.02999,1.67795,10.6204,3.38837,1.36889,0,0.00049265,0.00049265,0.0414927
7,96.1072,1.36834,2.74445,2.03533,1.17228,0,0.21084,0.03226,0.12516,0.08404,0.21084,0.03226,0.10898,0.06585,1.76547,6.56589,3.29689,1.31423,0,0.00055338,0.00055338,0.0315534
8,114.908,1.17458,2.25725,1.81208,1.13657,0,0.26014,0.06452,0.1477,0.09853,0.26014,0.06452,0.1404,0.08581,1.7052,5.94789,3.26886,1.37105,0,0.00060751,0.00060751,0.0216075
9,129.055,1.37625,2.55154,2.00299,1.17572,0,0.22201,0.09677,0.13839,0.07796,0.22201,0.09677,0.13383,0.0569,1.72463,6.14876,3.19783,1.39627,0,0.00065504,0.00065504,0.011655
10,144.049,1.22553,2.32531,1.79651,1.09816,0,0.17324,0.12903,0.14906,0.09677,0.22762,0.16129,0.16061,0.07437,1.78076,5.20175,3.18366,1.40798,0,0.00069597,0.00069597,0.00169597
