epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82207,1.52806,2.78278,1.33766,0,0,0,0,0,0,0,4e-05,4e-05,0.09604
2,6.61786,1.66302,2.46988,1.28228,0,0,0,0,0,0,0,8.74543e-05,8.74543e-05,0.0910875
3,8.87905,1.87908,2.5459,1.30968,0,0,0,0,0,0,0,0.00013208,0.00013208,0.0861321
4,11.1502,1.6619,2.21568,1.24881,0,0,0,0,0,0,0,0.000173877,0.000173877,0.0811739
5,13.2338,1.65297,1.92294,1.23126,0,0,0,0,0,0,0,0.000212846,0.000212846,0.0762128
6,15.0489,1.94858,2.06037,1.28339,0,0,0,0,0,0,0,0.000248986,0.000248986,0.071249
7,17.2194,1.71808,2.08968,1.27765,0,0,0,0,0,0,0,0.000282297,0.000282297,0.0662823
8,19.2123,1.62177,1.91648,1.26462,0,0,0,0,0,0,0,0.00031278,0.00031278,0.0613128
9,20.9936,1.54368,1.66745,1.24998,0,0,0,0,0,0,0,0.000340434,0.000340434,0.0563404
10,23.0588,1.68037,1.74268,1.2902,0,0,0,0,0,0,0,0.00036526,0.00036526,0.0513653
11,25.0641,1.68635,1.77997,1.29346,0,0,0,0,0,0,0,0.000387257,0.000387257,0.0463873
12,27.2031,1.58032,1.63011,1.23381,0,0,0,0,0,0,0,0.000406426,0.000406426,0.0414064
13,29.4074,1.60574,1.71389,1.20099,0,0,0,0,0,0,0,0.000422766,0.000422766,0.0364228
14,32.2755,1.46864,1.66719,1.16214,0,0,0,0,0,0,0,0.000436277,0.000436277,0.0314363
15,35.0743,1.65849,1.60641,1.22806,0,0,0,0,0,0,0,0.00044696,0.00044696,0.026447
16,37.9194,1.54215,1.57974,1.22817,0,0,0,0,0,0,0,0.000454814,0.000454814,0.0214548
17,40.2121,1.69359,1.64128,1.29596,0,0,0,0,0,0,0,0.00045984,0.00045984,0.0164598
18,42.4208,1.64744,1.65663,1.24703,0,0,0,0,0,0,0,0.000462037,0.000462037,0.011462
19,44.3709,1.50824,1.56913,1.29762,0,0,0,0,0,0,0,0.000461406,0.000461406,0.00646141
20,47.0024,1.4886,1.33606,1.18312,0,0,0,0,0,0,0,0.000457946,0.000457946,0.00145795
21,49.4084,1.53296,1.56574,1.16302,0,0,0,0,0,0,0,0.000434286,0.000434286,0.000434286
22,51.4646,1.40562,1.48502,1.14838,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
23,53.4825,1.44931,1.57166,1.13353,0,0,0,0,0,0,0,0.000377714,0.000377714,0.000377714
24,56.155,1.46605,1.47832,1.16114,0,0,0,0,0,0,0,0.000349429,0.000349429,0.000349429
25,58.7285,1.5733,1.813,1.25192,0,0,0,0,0,0,0,0.000321143,0.000321143,0.000321143
26,61.5267,1.29531,1.94416,1.08838,0,0,0,0,0,0,0,0.000292857,0.000292857,0.000292857
27,63.7251,1.41973,1.77028,1.10365,0,0,0,0,0,0,0,0.000264571,0.000264571,0.000264571
28,65.9598,1.27242,1.68226,1.03043,0,0,0,0,0,0,0,0.000236286,0.000236286,0.000236286
29,68.3934,1.38466,1.70682,1.11003,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
30,70.4143,1.23419,1.53872,1.04915,0,0,0,0,0,0,0,0.000179714,0.000179714,0.000179714
31,72.7082,1.51045,1.83023,1.15034,0,0,0,0,0,0,0,0.000151429,0.000151429,0.000151429
32,74.3142,1.3761,1.78058,1.13243,0,0,0,0,0,0,0,0.000123143,0.000123143,0.000123143
33,76.2148,1.35585,1.65194,1.10492,0,0,0,0,0,0,0,9.48571e-05,9.48571e-05,9.48571e-05
34,78.137,1.51692,1.6214,1.13401,0,0,0,0,0,0,0,6.65714e-05,6.65714e-05,6.65714e-05
35,85.7457,1.31562,1.5733,1.04215,0.3238,0.2,0.18813,0.12015,1.67595,3.19291,1.45576,3.82857e-05,3.82857e-05,3.82857e-05
